Tumor_Sample_Barcode,count
TCGA-AR-A24P-01,22
TCGA-BH-A0DD-01,22
TCGA-B6-A0X0-01,22
TCGA-E9-A229-01,22
TCGA-D8-A1XS-01,22
TCGA-E2-A1IJ-01,22
TCGA-EW-A1J1-01,22
TCGA-A8-A099-01,22
TCGA-AO-A1KP-01,22
TCGA-B6-A0WT-01,21
TCGA-AR-A1AU-01,21
TCGA-D8-A27W-01,21
TCGA-B6-A0RP-01,21
TCGA-EW-A2FW-01,21
TCGA-GM-A2DN-01,21
TCGA-D8-A1JH-01,21
TCGA-E9-A22H-01,21
TCGA-AO-A12H-01,21
TCGA-BH-A1F0-01,21
TCGA-D8-A1JS-01,21
TCGA-E2-A1IL-01,21
TCGA-BH-A0H0-01,21
TCGA-E2-A1IE-01,21
TCGA-AO-A126-01,21
TCGA-E2-A10A-01,21
TCGA-E9-A1RI-01,21
TCGA-AC-A3HN-01,21
TCGA-AR-A24U-01,21
TCGA-BH-A0EA-01,21
TCGA-E9-A1NG-01,20
TCGA-BH-A0EI-01,20
TCGA-E2-A14U-01,20
TCGA-B6-A1KI-01,20
TCGA-AR-A1AW-01,20
TCGA-E2-A1L6-01,20
TCGA-BH-A0W3-01,20
TCGA-EW-A1P5-01,20
TCGA-GM-A2DM-01,20
TCGA-C8-A273-01,20
TCGA-A2-A1FX-01,20
TCGA-GM-A2DC-01,20
TCGA-BH-A0BD-01,20
TCGA-AC-A3YI-01,20
TCGA-E9-A3X8-01,20
TCGA-MS-A51U-01,19
TCGA-A1-A0SB-01,19
TCGA-B6-A0X4-01,19
TCGA-E9-A24A-01,19
TCGA-E9-A22D-01,19
TCGA-A2-A3KD-01,19
TCGA-E9-A5FK-01,19
TCGA-BH-A1FG-01,19
TCGA-AC-A2FB-01,19
TCGA-A2-A0CZ-01,19
TCGA-E9-A248-01,19
TCGA-BH-A0RX-01,19
TCGA-E9-A245-01,19
TCGA-BH-A1ES-01,18
TCGA-D8-A1XO-01,18
TCGA-A8-A08X-01,18
TCGA-OL-A5RV-01,18
TCGA-A2-A0YC-01,18
TCGA-BH-A0H6-01,18
TCGA-AC-A23E-01,18
TCGA-BH-A201-01,18
TCGA-E2-A1IK-01,18
TCGA-AR-A1AN-01,18
TCGA-AN-A0XT-01,18
TCGA-AR-A24O-01,18
TCGA-E2-A156-01,17
TCGA-D8-A141-01,17
TCGA-B6-A0RQ-01,17
TCGA-A2-A4S0-01,17
TCGA-BH-A0H3-01,17
TCGA-D8-A4Z1-01,17
TCGA-E2-A1IF-01,17
TCGA-AO-A12B-01,17
TCGA-AC-A2FF-01,16
TCGA-E9-A249-01,16
TCGA-AO-A12A-01,16
TCGA-BH-A1EX-01,16
TCGA-AR-A2LJ-01,16
TCGA-BH-A1EU-01,16
TCGA-A2-A259-01,16
TCGA-E9-A227-01,16
TCGA-AO-A0JI-01,16
TCGA-BH-A42U-01,16
TCGA-BH-A0H5-01,15
TCGA-AO-A0JJ-01,15
TCGA-AR-A1AX-01,15
TCGA-AR-A2LM-01,15
TCGA-C8-A12V-01,15
TCGA-BH-A0C3-01,15
TCGA-A2-A0YI-01,15
TCGA-E2-A1LI-01,15
TCGA-B6-A0WY-01,15
TCGA-EW-A1P3-01,15
TCGA-BH-A0DT-01,14
TCGA-BH-A1FR-01,14
TCGA-E2-A1IO-01,14
TCGA-BH-A0BS-01,14
TCGA-A2-A04Q-01,14
TCGA-E2-A1B1-01,14
TCGA-BH-A1EW-01,14
TCGA-A2-A0EW-01,14
TCGA-BH-A1FE-01,14
TCGA-OL-A5RY-01,13
TCGA-HN-A2OB-01,13
TCGA-D8-A1JU-01,13
TCGA-B6-A0RT-01,13
TCGA-A2-A0YL-01,13
TCGA-BH-A18M-01,13
TCGA-A2-A3XW-01,12
TCGA-BH-A0E9-01,12
TCGA-AR-A2LO-01,12
TCGA-LL-A440-01,12
TCGA-E2-A1B6-01,11
TCGA-AO-A0JC-01,11
TCGA-E9-A1QZ-01,10
TCGA-A2-A0EP-01,9
TCGA-A2-A0ST-01,9
TCGA-AO-A03U-01,9
TCGA-AR-A252-01,9
TCGA-D8-A27E-01,8
TCGA-A2-A25F-01,8
TCGA-GM-A3XG-01,8
TCGA-AR-A2LQ-01,8
TCGA-AR-A1AO-01,8
TCGA-AR-A24W-01,7
TCGA-E9-A2JT-01,7
TCGA-EW-A1PG-01,7
TCGA-A2-A1G6-01,6
TCGA-BH-A0DV-01,5
TCGA-A2-A0ES-01,5
TCGA-BH-A1FH-01,4
TCGA-A7-A426-01,4
TCGA-A8-A09R-01,4
TCGA-A8-A08C-01,3
TCGA-EW-A1P1-01,3
TCGA-A7-A0DC-01,1
TCGA-B6-A0RI-01,1
TCGA-AC-A2FK-01,1
TCGA-D8-A27F-01,1
