Tumor_Sample_Barcode,count
TCGA-D8-A140-01,93
TCGA-A2-A04T-01,93
TCGA-D8-A1XW-01,93
TCGA-AO-A03T-01,93
TCGA-E9-A1NA-01,93
TCGA-GM-A2DO-01,93
TCGA-AC-A2QI-01,92
TCGA-EW-A1OV-01,92
TCGA-E2-A15K-06,92
TCGA-A8-A0A7-01,91
TCGA-BH-A0WA-01,91
TCGA-AO-A0J4-01,91
TCGA-AC-A3W7-01,90
TCGA-A2-A4S3-01,90
TCGA-A7-A4SF-01,89
TCGA-D8-A1X9-01,89
TCGA-A2-A25B-01,88
TCGA-A7-A3J0-01,88
TCGA-E9-A244-01,88
TCGA-AC-A2QH-01,88
TCGA-AN-A0FJ-01,87
TCGA-A8-A092-01,87
TCGA-E9-A22E-01,87
TCGA-AN-A0FV-01,87
TCGA-AO-A129-01,87
TCGA-AO-A0JB-01,87
TCGA-E2-A1LA-01,86
TCGA-E2-A14W-01,85
TCGA-A8-A081-01,85
TCGA-A2-A0CP-01,85
TCGA-BH-A1EV-01,84
TCGA-A2-A0EQ-01,84
TCGA-EW-A1IW-01,83
TCGA-D8-A1JC-01,83
TCGA-BH-A0H7-01,83
TCGA-E2-A109-01,83
TCGA-BH-A0EE-01,82
TCGA-E2-A1LE-01,82
TCGA-D8-A1JD-01,82
TCGA-AQ-A54N-01,82
TCGA-BH-A0DL-01,82
TCGA-E2-A14P-01,82
TCGA-A2-A04R-01,82
TCGA-A8-A09N-01,81
TCGA-A7-A4SC-01,81
TCGA-A8-A07W-01,81
TCGA-A8-A09W-01,81
TCGA-E9-A1RH-01,81
TCGA-D8-A1XJ-01,80
TCGA-A2-A0D2-01,80
TCGA-AN-A0AL-01,80
TCGA-A2-A4S1-01,80
TCGA-LL-A441-01,80
TCGA-AN-A0AJ-01,80
TCGA-AO-A0J3-01,79
TCGA-BH-A18Q-01,79
TCGA-A2-A0CT-01,79
TCGA-AN-A04C-01,79
TCGA-LL-A5YL-01,79
TCGA-AR-A0TU-01,79
TCGA-BH-A0B8-01,78
TCGA-E2-A1LS-01,77
TCGA-E9-A2JS-01,77
TCGA-E9-A3HO-01,76
TCGA-A8-A07E-01,76
TCGA-E2-A14V-01,75
TCGA-C8-A26V-01,75
TCGA-A2-A0D1-01,75
TCGA-BH-A209-01,75
TCGA-B6-A0I9-01,75
TCGA-BH-A0H9-01,75
TCGA-A8-A075-01,74
TCGA-AC-A5XU-01,74
TCGA-E9-A3Q9-01,74
TCGA-BH-A1FC-01,74
TCGA-D8-A1JJ-01,74
TCGA-EW-A1PD-01,74
TCGA-AC-A62Y-01,73
TCGA-A7-A3RF-01,73
TCGA-BH-A0DP-01,73
TCGA-BH-A18T-01,73
TCGA-E2-A15K-01,73
TCGA-B6-A0IO-01,72
TCGA-AO-A0J2-01,72
TCGA-EW-A423-01,72
TCGA-C8-A12L-01,72
TCGA-HN-A2NL-01,72
TCGA-BH-A0B3-01,71
TCGA-A2-A0YM-01,71
TCGA-E9-A3QA-01,71
TCGA-AO-A1KR-01,70
TCGA-D8-A13Y-01,70
TCGA-A8-A085-01,70
TCGA-A2-A1FW-01,70
TCGA-B6-A0RO-01,69
TCGA-AR-A0U1-01,69
TCGA-AR-A250-01,69
TCGA-A8-A07B-01,69
TCGA-E9-A295-01,69
TCGA-AQ-A04H-01,69
TCGA-B6-A402-01,68
TCGA-E2-A1L7-01,68
TCGA-E2-A1BC-01,68
TCGA-E9-A1ND-01,68
TCGA-AN-A0FS-01,68
TCGA-D8-A1Y0-01,68
TCGA-AC-A62X-01,68
TCGA-BH-A0AV-01,68
TCGA-BH-A1F6-01,68
TCGA-BH-A5J0-01,67
TCGA-BH-A0BM-01,67
TCGA-A8-A084-01,67
TCGA-BH-A0B4-01,66
TCGA-D8-A142-01,66
TCGA-PE-A5DD-01,66
TCGA-A2-A0D0-01,66
TCGA-A8-A06O-01,66
TCGA-EW-A1OY-01,66
TCGA-AC-A3EH-01,66
TCGA-BH-A0BR-01,65
TCGA-B6-A40B-01,65
TCGA-B6-A0I1-01,65
TCGA-OL-A5DA-01,65
TCGA-BH-A0B5-01,64
TCGA-A7-A13F-01,64
TCGA-BH-A0E1-01,64
TCGA-E2-A14Y-01,64
TCGA-A2-A0YD-01,64
TCGA-AO-A03O-01,64
TCGA-D8-A13Z-01,64
TCGA-AR-A1AK-01,64
TCGA-BH-A0BV-01,64
TCGA-B6-A0X1-01,64
TCGA-OL-A66J-01,63
TCGA-E9-A243-01,63
TCGA-E2-A1IH-01,63
TCGA-AO-A0JL-01,63
TCGA-BH-A18J-01,63
TCGA-E2-A14Z-01,63
TCGA-B6-A0RG-01,63
TCGA-BH-A0DH-01,63
TCGA-AR-A1AI-01,63
TCGA-AR-A2LR-01,63
TCGA-A2-A0EV-01,62
TCGA-AC-A2FM-01,62
TCGA-D8-A1XZ-01,62
TCGA-AO-A0J5-01,62
TCGA-BH-A0DX-01,61
TCGA-AR-A5QQ-01,61
TCGA-A2-A0CW-01,61
TCGA-A8-A06Z-01,61
TCGA-D8-A27M-01,61
TCGA-E2-A573-01,61
TCGA-C8-A3M8-01,60
TCGA-EW-A1P4-01,60
TCGA-A2-A3XY-01,60
TCGA-B6-A0IQ-01,60
TCGA-A2-A0YH-01,60
TCGA-AN-A0FY-01,60
TCGA-B6-A0IB-01,60
TCGA-E2-A105-01,60
TCGA-A8-A06U-01,60
TCGA-A7-A5ZX-01,60
TCGA-BH-A0B1-01,60
TCGA-E2-A15G-01,59
TCGA-AR-A255-01,59
TCGA-C8-A12M-01,59
TCGA-D8-A1XM-01,59
TCGA-BH-A0AZ-01,59
TCGA-BH-A0E0-01,59
TCGA-A8-A09X-01,59
TCGA-A8-A06R-01,59
TCGA-BH-A203-01,59
TCGA-OL-A5D7-01,59
TCGA-AQ-A04J-01,58
TCGA-BH-A208-01,58
